---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.UpdData = 2
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.FileName = "..\..\Application\MocapExamples\Plug-in-gait_Simple\Output\\LowerExtremityGaitNormal_1-euler-leftlegtd.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
1.540000000000000e+000 -2.644142658980074e-001 -1.009081945280326e-001 1.335304514067097e-002 1.421448464976846e-001 -3.077697736558491e-001 2.861691810416412e-002
1.550000000000000e+000 -2.733055187455112e-001 -9.425609892587117e-002 7.883636791561927e-003 1.527927305049756e-001 -3.041561331322193e-001 1.598020145198734e-002
1.560000000000000e+000 -2.817158424292615e-001 -8.662286219650972e-002 2.548507127180356e-003 1.638983834889096e-001 -2.987915353920504e-001 3.156184439643996e-003
1.570000000000000e+000 -2.894116906098289e-001 -7.796341951755248e-002 -2.561586990633813e-003 1.757420043877698e-001 -2.911337424891634e-001 -9.625869397436863e-003
1.580000000000000e+000 -2.961010622559219e-001 -6.834228080521654e-002 -7.340650739759131e-003 1.886318670959770e-001 -2.807161911821908e-001 -2.207949510961916e-002
1.590000000000000e+000 -3.015590238440632e-001 -5.789249984798439e-002 -1.175500782573608e-002 2.028514109871564e-001 -2.672389520608163e-001 -3.396889774731638e-002
1.600000000000000e+000 -3.055558944870765e-001 -4.678237699620036e-002 -1.578183724451312e-002 2.187963828404345e-001 -2.504126226751330e-001 -4.509693077997890e-002
1.610000000000000e+000 -3.078700539817151e-001 -3.523129685713045e-002 -1.940951393982011e-002 2.369228202045221e-001 -2.300200000274220e-001 -5.531430553558629e-002
1.620000000000000e+000 -3.082879998741088e-001 -2.349798766831079e-002 -2.262020522616103e-002 2.577265332458175e-001 -2.059377789301470e-001 -6.453405007593586e-002
1.630000000000000e+000 -3.066027520126417e-001 -1.185603018144410e-002 -2.538188339347474e-002 2.817181125043084e-001 -1.781622253158249e-001 -7.273547939754455e-002
1.640000000000000e+000 -3.026021346728830e-001 -5.637647596319351e-004 -2.765037230495106e-002 3.093965626907437e-001 -1.468414814427315e-001 -7.994944276803932e-002
1.650000000000000e+000 -2.960529750403117e-001 1.016671584076856e-002 -2.937532337640166e-002 3.412189387289439e-001 -1.123177287239009e-001 -8.622784220241395e-002
1.660000000000000e+000 -2.866991166256555e-001 2.019573694745369e-002 -3.051440397093012e-002 3.775578510737720e-001 -7.517358470515420e-002 -9.159651945129994e-002
1.670000000000000e+000 -2.742864322788939e-001 2.946907119255959e-002 -3.106247548497141e-002 4.186443821740700e-001 -3.626881998165814e-002 -9.599561219969519e-002
1.680000000000000e+000 -2.586141278942133e-001 3.801122365413945e-002 -3.108656263570257e-002 4.645055086775999e-001 3.250521125042829e-003 -9.923135268906089e-002
1.690000000000000e+000 -2.395972797763411e-001 4.589702383375283e-002 -3.074546583056996e-002 5.149132368776825e-001 4.199255669147586e-002 -1.009723110482529e-001
1.700000000000000e+000 -2.173191948290871e-001 5.320903866463400e-002 -3.027626078492905e-002 5.693641029887274e-001 7.842308006163659e-002 -1.008083875308009e-001
1.710000000000000e+000 -1.920539983089715e-001 5.999823412703664e-002 -2.994450068669015e-002 6.271017450175318e-001 1.110154121267394e-001 -9.835856440549796e-002
1.720000000000000e+000 -1.642455613003303e-001 6.626262724390486e-002 -2.997679148720591e-002 6.871824294947689e-001 1.384042435199385e-001 -9.338039298664629e-002
1.730000000000000e+000 -1.344439719709739e-001 7.194659541372017e-002 -3.050622300361302e-002 7.485669007961568e-001 1.595127328801399e-001 -8.582956699593421e-002
1.740000000000000e+000 -1.032197973059901e-001 7.695687629991843e-002 -3.155038429876954e-002 8.102109776534132e-001 1.736529941349020e-001 -7.585201867441709e-002
1.750000000000000e+000 -7.108663023021536e-002 8.118952718280137e-002 -3.302283569380786e-002 8.711302174106143e-001 1.806052064342568e-001 -6.373237483523327e-002
1.760000000000000e+000 -3.845734795946827e-002 8.455775422306511e-002 -3.476816643906554e-002 9.304300718859292e-001 1.806550453100034e-001 -4.983877838650838e-002
1.770000000000000e+000 -5.637432514407246e-003 8.700850555112760e-002 -3.660600446618841e-002 9.873119655802256e-001 1.745533061123804e-001 -3.459529943403174e-002
1.780000000000000e+000 2.716033443475466e-002 8.852433171312790e-002 -3.836474723033701e-002 1.041072100569768e+000 1.633882918629322e-001 -1.848974740782456e-002
1.790000000000000e+000 5.979480568331717e-002 8.911891657414484e-002 -3.989462106360223e-002 1.091103261552016e+000 1.484085733074531e-001 -2.096035140454207e-003
1.800000000000000e+000 9.217638752316329e-002 8.883463013181525e-002 -4.107160196942104e-002 1.136901451217107e+000 1.308527539512520e-001 1.392311946701244e-002
