---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.FileName = "..\..\Application\MocapExamples\Plug-in-gait_Simple\Output\\LowerExtremityGaitNormal_1-euler-rightlegtd.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
1.540000000000000e+000 5.153761737565649e-001 1.069065777030682e-001 1.448229192580726e-001 1.454874703473089e-001 -4.105340165703623e-002 1.621037238618991e-003
1.550000000000000e+000 5.131518420991983e-001 1.061052526012147e-001 1.435538627746911e-001 1.506819840712821e-001 -4.131649334133480e-002 1.199806573335832e-002
1.560000000000000e+000 5.114310575176266e-001 1.044087154540978e-001 1.419574775813001e-001 1.571052262946232e-001 -4.003237411610538e-002 2.388726357806389e-002
1.570000000000000e+000 5.103898453767461e-001 1.015539764878288e-001 1.395847794759116e-001 1.655128130419347e-001 -3.652864198149098e-002 3.778743140526189e-002
1.580000000000000e+000 5.101239254718494e-001 9.733836664598994e-002 1.361087714791451e-001 1.763822684954330e-001 -3.035373418034350e-002 5.375743611686801e-002
1.590000000000000e+000 5.105892968115209e-001 9.168564754190345e-002 1.314880471689222e-001 1.896683016530733e-001 -2.143105366449218e-002 7.134489315761645e-002
1.600000000000000e+000 5.116532261780796e-001 8.455942686727624e-002 1.257063952738175e-001 2.051268262291707e-001 -9.913656764339762e-003 8.991742324546306e-002
1.610000000000000e+000 5.130799145855234e-001 7.600225698670937e-002 1.187385714148850e-001 2.223224359363577e-001 3.658924139051974e-003 1.086915832128742e-001
1.620000000000000e+000 5.145429307429837e-001 6.613286610286484e-002 1.105510137812927e-001 2.407327286974349e-001 1.837792606918415e-002 1.268575281100103e-001
1.630000000000000e+000 5.156495818976646e-001 5.513808135820075e-002 1.011877996211676e-001 2.598191183642937e-001 3.311519375644631e-002 1.437234851261622e-001
1.640000000000000e+000 5.159775603177970e-001 4.326385005370836e-002 9.084322365468606e-002 2.790365204023478e-001 4.672417979799905e-002 1.588589997238714e-001
1.650000000000000e+000 5.151234035780844e-001 3.080053002101657e-002 7.985759034025730e-002 2.978192069937787e-001 5.820389386758635e-002 1.721637365239635e-001
1.660000000000000e+000 5.127572108199683e-001 1.806075539319330e-002 6.866916400162622e-002 3.155987571130969e-001 6.680710525168071e-002 1.837895366275133e-001
1.670000000000000e+000 5.086649201304835e-001 5.352061694531285e-003 5.776119371151604e-002 3.318551589426810e-001 7.209519120223371e-002 1.939549536556456e-001
1.680000000000000e+000 5.027586010583693e-001 -7.052167736232740e-003 4.761150061459446e-002 3.461615862606692e-001 7.393378172157328e-002 2.027845546009132e-001
1.690000000000000e+000 4.950525041894003e-001 -1.893400329592332e-002 3.864926882114543e-002 3.582010031969495e-001 7.244131743695964e-002 2.102625841643372e-001
1.700000000000000e+000 4.856168478655332e-001 -3.013692174614402e-002 3.121875685664978e-002 3.677621602107420e-001 6.792105527037562e-002 2.162823553037160e-001
1.710000000000000e+000 4.745270637490366e-001 -4.055972113576778e-002 2.554524772633574e-002 3.747281931651728e-001 6.079689629209063e-002 2.207131415165197e-001
1.720000000000000e+000 4.618299385561306e-001 -5.014470934278736e-002 2.171044331110685e-002 3.790637002908931e-001 5.155691615932215e-002 2.234329696538071e-001
1.730000000000000e+000 4.475411559350698e-001 -5.886288912602899e-002 1.964955118395455e-002 3.808020971723358e-001 4.070821949835120e-002 2.243402229624501e-001
1.740000000000000e+000 4.316708221174068e-001 -6.670024088464555e-002 1.917055439178395e-002 3.800338169358158e-001 2.874896164589613e-002 2.233769457182248e-001
1.750000000000000e+000 4.142580053218106e-001 -7.365101431873677e-002 1.998599222905004e-002 3.768957967588934e-001 1.615359987305383e-002 2.205630547424134e-001
