Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  1.600000000000000e+00, -4.239813195141487e-01, -4.787071454015801e-02,  4.113218635416346e-02,  2.761578077027098e-01, -2.784547960985228e-01,  1.408407777730029e-01
  1.610000000000000e+00, -4.258592358243490e-01, -3.492063713303506e-02,  3.806234976564464e-02,  2.936381876186939e-01, -2.589675872997907e-01,  1.222802338598511e-01
  1.620000000000000e+00, -4.262153662793347e-01, -2.169360095606088e-02,  3.475261464854842e-02,  3.135893915458894e-01, -2.356965764866941e-01,  1.037505310164234e-01
  1.630000000000000e+00, -4.249417269007169e-01, -8.538817471656079e-03,  3.119104002354428e-02,  3.364579919110711e-01, -2.086872339924140e-01,  8.528972135673486e-02
  1.640000000000000e+00, -4.218710717864420e-01,  4.221880914894616e-03,  2.742972190901118e-02,  3.627147607499600e-01, -1.781287961145271e-01,  6.686724914258141e-02
  1.650000000000000e+00, -4.167602994951592e-01,  1.632323362461863e-02,  2.356966428077325e-02,  3.928189177797887e-01, -1.443937845801465e-01,  4.846004782165601e-02
  1.660000000000000e+00, -4.093003286678499e-01,  2.758151319194679e-02,  1.974633171776364e-02,  4.271706112226062e-01, -1.080801934726250e-01,  3.013182202851535e-02
  1.670000000000000e+00, -3.991570496765351e-01,  3.790604399592157e-02,  1.609886317267121e-02,  4.660500327225705e-01, -7.004516848833091e-02,  1.213005688657298e-02
  1.680000000000000e+00, -3.860343221596222e-01,  4.729485987477799e-02,  1.273140500133081e-02,  5.095535220790139e-01, -3.141399794101098e-02, -5.033367291771465e-03
  1.690000000000000e+00, -3.697440311779792e-01,  5.581412731779589e-02,  9.683037307986054e-03,  5.575411669541813e-01,  6.456878135684578e-03, -2.056338794903047e-02
  1.700000000000000e+00, -3.502654928606647e-01,  6.356398823331699e-02,  6.918293337287603e-03,  6.096094689181180e-01,  4.207627434990571e-02, -3.345302953467731e-02
  1.710000000000000e+00, -3.277749003061399e-01,  7.064016313955213e-02,  4.343657348127261e-03,  6.651000211682735e-01,  7.395763410648663e-02, -4.263368273068257e-02
  1.720000000000000e+00, -3.026305198369008e-01,  7.710186209744707e-02,  1.843642376237999e-03,  7.231480102412372e-01,  1.007613845818168e-01, -4.715147859362055e-02
  1.730000000000000e+00, -2.753152231677310e-01,  8.295242581357920e-02, -6.795527202623872e-04,  7.827608397385836e-01,  1.214142528068697e-01, -4.631020339534708e-02
  1.740000000000000e+00, -2.463563934270568e-01,  8.813776811084195e-02, -3.276364852638787e-03,  8.429045897804494e-01,  1.352108618586667e-01, -3.975690640327802e-02
  1.750000000000000e+00, -2.162502227790814e-01,  9.256459973466780e-02, -5.937025113620056e-03,  9.025742046454726e-01,  1.419050314198125e-01, -2.752053818318455e-02
  1.760000000000000e+00, -1.854108108949428e-01,  9.613073720166154e-02, -8.598041628750412e-03,  9.608353116543753e-01,  1.417654577566988e-01, -1.001651453217950e-02
  1.770000000000000e+00, -1.541509979088855e-01,  9.875264166011810e-02, -1.116384925194830e-02,  1.016843086112033e+00,  1.355483366298381e-01,  1.198047025369248e-02
  1.780000000000000e+00, -1.226907086739152e-01,  1.003806792487176e-01, -1.352900849831656e-02,  1.069850855062595e+00,  1.243685045618575e-01,  3.739445720861225e-02
  1.790000000000000e+00, -9.118124715602068e-02,  1.010046182529574e-01, -1.558953337239752e-02,  1.119217188035896e+00,  1.095073520405022e-01,  6.493336763269265e-02
  1.800000000000000e+00, -5.973070412963706e-02,  1.006555020196958e-01, -1.725070107791828e-02,  1.164414194818762e+00,  9.222287056714001e-02,  9.319695466489909e-02
  1.810000000000000e+00, -2.842460368823416e-02,  9.940402657415448e-02, -1.843900695599299e-02,  1.205032045442626e+00,  7.361076319852887e-02,  1.207988014707690e-01
  1.820000000000000e+00,  2.655312438378424e-03,  9.735246682291088e-02, -1.910883648966095e-02,  1.240772230319555e+00,  5.453515724271812e-02,  1.464870865118100e-01
  1.830000000000000e+00,  3.341680682040922e-02,  9.462226676035801e-02, -1.923597046808338e-02,  1.271430244895149e+00,  3.562463596115964e-02,  1.692475909887291e-01
  1.840000000000000e+00,  6.375205235324342e-02,  9.134279616939245e-02, -1.880472330550997e-02,  1.296874328370757e+00,  1.731422875442493e-02,  1.883744981685843e-01
  1.850000000000000e+00,  9.353774110887923e-02,  8.764176011821645e-02, -1.779742979735989e-02,  1.317024648083537e+00, -9.507426638726030e-05,  2.035018802758090e-01
  1.860000000000000e+00,  1.226342631367212e-01,  8.363563308985578e-02, -1.618767732651728e-02,  1.331835389221661e+00, -1.638694014889603e-02,  2.146014367690743e-01
  1.870000000000000e+00,  1.508855614032157e-01,  7.942210459986931e-02, -1.393800851417217e-02,  1.341282580725072e+00, -3.140430089366065e-02,  2.219651201919061e-01
  1.880000000000000e+00,  1.781380727483391e-01,  7.508399884240946e-02, -1.100412796885180e-02,  1.345363560789777e+00, -4.504102863067493e-02,  2.261176722950438e-01
  1.890000000000000e+00,  2.042484203875917e-01,  7.068555656073672e-02, -7.347069147853714e-03,  1.344093349501548e+00, -5.724233220660765e-02,  2.278034554896803e-01
  1.900000000000000e+00,  2.291014792160899e-01,  6.628171115679615e-02, -2.943096256296658e-03,  1.337507306682758e+00, -6.800143969101684e-02,  2.278639133900455e-01
  1.910000000000000e+00,  2.526093980985759e-01,  6.192366281057460e-02,  2.208475007914951e-03,  1.325659369598147e+00, -7.735364719021526e-02,  2.271567002259430e-01
  1.920000000000000e+00,  2.747072212265442e-01,  5.766676943528037e-02,  8.080154209201832e-03,  1.308620221676931e+00, -8.536408124955641e-02,  2.264699969892024e-01
  1.930000000000000e+00,  2.953463845967241e-01,  5.357743407781790e-02,  1.461549892419802e-02,  1.286473457995448e+00, -9.210915391504922e-02,  2.264485224529367e-01
  1.940000000000000e+00,  3.144875155784536e-01,  4.973620718896821e-02,  2.173534281318536e-02,  1.259310485967331e+00, -9.765761013857593e-02,  2.275397078740816e-01
  1.950000000000000e+00,  3.320933372621268e-01,  4.623457558003508e-02,  2.934850481563967e-02,  1.227226041025558e+00, -1.020563723120349e-01,  2.299664921914523e-01
  1.960000000000000e+00,  3.481205173771599e-01,  4.316562589733008e-02,  3.736153747055795e-02,  1.190315306757030e+00, -1.053227072761820e-01,  2.337263391180364e-01
  1.970000000000000e+00,  3.625115430942625e-01,  4.061342886572805e-02,  4.568556355338633e-02,  1.148674423774009e+00, -1.074445771786435e-01,  2.386119558785391e-01
  1.980000000000000e+00,  3.751911446037230e-01,  3.864585968459955e-02,  5.424135934501152e-02,  1.102406459812769e+00, -1.083853220578389e-01,  2.442505224284536e-01
  1.990000000000000e+00,  3.860676646399635e-01,  3.731112202420417e-02,  6.296450403311332e-02,  1.051631894345342e+00, -1.080864520790064e-01,  2.501593151054813e-01
  2.000000000000000e+00,  3.950336206121137e-01,  3.663750771928131e-02,  7.181273640142542e-02,  9.965012010514034e-01, -1.064732442054954e-01,  2.558084061005472e-01
  2.010000000000000e+00,  4.019637666037265e-01,  3.663753036357220e-02,  8.077347643999958e-02,  9.372117516919524e-01, -1.034691081732237e-01,  2.606700581367693e-01
  2.020000000000000e+00,  4.067170323955948e-01,  3.731583353574863e-02,  8.986418814310036e-02,  8.740360499016525e-01, -9.901165310821355e-02,  2.642392673828969e-01
  2.030000000000000e+00,  4.091498847027591e-01,  3.867769622193262e-02,  9.912191030524285e-02,  8.073657454089855e-01, -9.306281495287490e-02,  2.660375616659583e-01
  2.040000000000000e+00,  4.091449502828133e-01,  4.073467189902669e-02,  1.085855169438389e-01,  7.377697585572277e-01, -8.561909830245956e-02,  2.656303688669807e-01
  2.050000000000000e+00,  4.066556336614273e-01,  4.350713015454333e-02,  1.182793216689852e-01,  6.660623409223301e-01, -7.673264851613852e-02,  2.626625032718075e-01
