Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
 1.540000000000000e+000,-2.897443109093829e-001,-9.487873410401404e-002, 1.850547700841915e-003, 1.286065734335097e-001,-2.992165835090975e-001, 4.608989104489879e-002
 1.550000000000000e+000,-2.982701858467940e-001,-8.772660905073204e-002,-1.709981081527096e-003, 1.399711403438202e-001,-2.956982848150264e-001, 2.932095819326113e-002
 1.560000000000000e+000,-3.062678618968524e-001,-7.956493729621039e-002,-5.150061720347732e-003, 1.517744150386211e-001,-2.904118163004013e-001, 1.244413459901633e-002
 1.570000000000000e+000,-3.134949042405623e-001,-7.034795141062578e-002,-8.443781668952568e-003, 1.642585949999760e-001,-2.827999178371525e-001,-4.179046289290058e-003
 1.580000000000000e+000,-3.196745846338115e-001,-6.014567028519968e-002,-1.155362977518233e-002, 1.776912500648070e-001,-2.723867239823462e-001,-2.012626197169255e-002
 1.590000000000000e+000,-3.246274393026716e-001,-4.910171464453494e-002,-1.450103576801455e-002, 1.923218035530588e-001,-2.588714097621345e-001,-3.505633881015835e-002
 1.600000000000000e+000,-3.281797459474209e-001,-3.739842425708062e-002,-1.730538503244683e-002, 2.085172625546078e-001,-2.419694765415507e-001,-4.869338294190581e-002
 1.610000000000000e+000,-3.301711079980837e-001,-2.527503933467390e-002,-1.998023164721773e-002, 2.267145028876401e-001,-2.214763638544813e-001,-6.084342916976827e-002
 1.620000000000000e+000,-3.304464229866874e-001,-1.301444773666205e-002,-2.251194386935600e-002, 2.474033291775623e-001,-1.972883611390676e-001,-7.141711398123031e-002
 1.630000000000000e+000,-3.288458167807271e-001,-9.148849121070057e-004,-2.485082433215948e-002, 2.711035683841485e-001,-1.694256356118838e-001,-8.043697131898057e-002
 1.640000000000000e+000,-3.251844113297318e-001, 1.074414294755832e-002,-2.691632381999665e-002, 2.983387062856925e-001,-1.380609603687990e-001,-8.801794178133778e-002
 1.650000000000000e+000,-3.192308138939771e-001, 2.173539732283536e-002,-2.860848406299615e-002, 3.296038908780528e-001,-1.035589946630010e-001,-9.432539830180380e-002
 1.660000000000000e+000,-3.107050991461589e-001, 3.191088703112421e-002,-2.982890549243168e-002, 3.653206139556011e-001,-6.652141346897471e-002,-9.951045025696727e-002
 1.670000000000000e+000,-2.993071413052019e-001, 4.121464250806151e-002,-3.051748787256564e-002, 4.057761811120806e-001,-2.782357422117397e-002,-1.036285888303844e-001
 1.680000000000000e+000,-2.847715291000938e-001, 4.967604017239302e-002,-3.069423314853002e-002, 4.510573723389890e-001, 1.137664785033944e-002,-1.065715382836123e-001
 1.690000000000000e+000,-2.669365585685632e-001, 5.738237498536147e-002,-3.048403990944025e-002, 5.009945532653626e-001, 4.968135384677564e-002,-1.080512443627743e-001
 1.700000000000000e+000,-2.458074754357053e-001, 6.443671705105247e-002,-3.010651958392495e-002, 5.551338767510609e-001, 8.555961894415497e-002,-1.076573576551799e-001
 1.710000000000000e+000,-2.215905673675517e-001, 7.091614636447985e-002,-2.982701486072932e-002, 6.127512969895088e-001, 1.174998484860237e-001,-1.049740623831317e-001
 1.720000000000000e+000,-1.946808013154767e-001, 7.684426400779687e-002,-2.988711975969768e-002, 6.729111994163806e-001, 1.441632623581909e-001,-9.970506867426242e-002
 1.730000000000000e+000,-1.656032612843731e-001, 8.218258169658532e-002,-3.044507974328496e-002, 7.345563482516059e-001, 1.645076369609582e-001,-9.174922883036467e-002
 1.740000000000000e+000,-1.349283478294769e-001, 8.684084444531570e-002,-3.154604164723241e-002, 7.966035004123698e-001, 1.778823404037913e-001,-8.120528319265381e-002
 1.750000000000000e+000,-1.031882886983271e-001, 9.070211367914527e-002,-3.312380619570430e-002, 8.580189992235185e-001, 1.841008087315113e-001,-6.832807740423932e-002
