Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00,  3.075667525388998e-01,  6.604811729699955e-02,  1.504582311091373e-01,  2.058701174291364e-01, -6.618674104840717e-03,  2.269882121195717e-01
  1.610000000000000e+00,  3.088131575951331e-01,  5.593707347032018e-02,  1.409376733206808e-01,  2.227080724754235e-01,  6.863995531851273e-03,  2.447483658565507e-01
  1.620000000000000e+00,  3.101077890043950e-01,  4.447276428925551e-02,  1.301562410324002e-01,  2.417838960636654e-01,  2.150184890767809e-02,  2.612899819194925e-01
  1.630000000000000e+00,  3.109672949824713e-01,  3.195836364359961e-02,  1.184591405555712e-01,  2.621370399285462e-01,  3.625730565722814e-02,  2.758775609416308e-01
  1.640000000000000e+00,  3.108943362696138e-01,  1.873174444096892e-02,  1.062105802156752e-01,  2.828979127780656e-01,  5.001121357298945e-02,  2.883198146809349e-01
  1.650000000000000e+00,  3.094327000887182e-01,  5.144152538449687e-03,  9.380112890655631e-02,  3.032592697349689e-01,  6.176019445220808e-02,  2.989326640951685e-01
  1.660000000000000e+00,  3.062275295508045e-01, -8.460934208898596e-03,  8.163230038899807e-02,  3.224871626790597e-01,  7.074374910881731e-02,  3.083308690795868e-01
  1.670000000000000e+00,  3.010695071479467e-01, -2.176826626770656e-02,  7.010904085447044e-02,  3.399678268062176e-01,  7.650171741880896e-02,  3.171136138520332e-01
  1.680000000000000e+00,  2.939031163208504e-01, -3.451263207331512e-02,  5.962725606583999e-02,  3.552420090062463e-01,  7.886848276972282e-02,  3.256277684277810e-01
  1.690000000000000e+00,  2.847946568714239e-01, -4.649681365061853e-02,  5.054964948173334e-02,  3.680022136445136e-01,  7.792635694941238e-02,  3.339169365264314e-01
  1.700000000000000e+00,  2.738740048873416e-01, -5.759689781758270e-02,  4.317262503688654e-02,  3.780667086132072e-01,  7.394764683048004e-02,  3.418101344848136e-01
  1.710000000000000e+00,  2.612744942952084e-01, -6.775375235984393e-02,  3.768876630316572e-02,  3.853522710821920e-01,  6.733741961890473e-02,  3.490338016478999e-01
  1.720000000000000e+00,  2.470948481043667e-01, -7.695442606515579e-02,  3.415829719130264e-02,  3.898547098146464e-01,  5.857623104955632e-02,  3.552772654967565e-01
  1.730000000000000e+00,  2.313948494301317e-01, -8.520835573678220e-02,  3.250219679075901e-02,  3.916357301317671e-01,  4.816978386941849e-02,  3.602259068057304e-01
  1.740000000000000e+00,  2.142185391435808e-01, -9.252702359583775e-02,  3.251639476148679e-02,  3.908125114408018e-01,  3.661657314715445e-02,  3.636008358902667e-01
  1.750000000000000e+00,  1.956280481877455e-01, -9.891559444331355e-02,  3.389885258989773e-02,  3.875486673221361e-01,  2.439118096577334e-02,  3.652074594616099e-01
  1.760000000000000e+00,  1.757312546920628e-01, -1.043766122794048e-01,  3.628381374037933e-02,  3.820476452921055e-01,  1.192931875164518e-02,  3.649704932120570e-01
  1.770000000000000e+00,  1.546929885832275e-01, -1.089183066746278e-01,  3.927913751743169e-02,  3.745475413911500e-01, -3.920411847671454e-04,  3.629447997101965e-01
  1.780000000000000e+00,  1.327275131781676e-01, -1.125609866870358e-01,  4.250058362452346e-02,  3.653133919729286e-01, -1.227348875180846e-02,  3.593032150747191e-01
  1.790000000000000e+00,  1.100766389150638e-01, -1.153389347127136e-01,  4.560034725650679e-02,  3.546251175864115e-01, -2.350415179157921e-02,  3.543035205172642e-01
  1.800000000000000e+00,  8.698138603624238e-02, -1.172982822209570e-01,  4.829122219811777e-02,  3.427611493159121e-01, -3.396174421121510e-02,  3.482481779515634e-01
  1.810000000000000e+00,  6.365435619477081e-02, -1.184941398374113e-01,  5.036116531356861e-02,  3.299793043818303e-01, -4.360062881329707e-02,  3.414571828396343e-01
  1.820000000000000e+00,  4.026119679322133e-02, -1.189883468637161e-01,  5.167152172435730e-02,  3.165045690578503e-01, -5.243316654713662e-02,  3.342541056137865e-01
  1.830000000000000e+00,  1.691818273113243e-02, -1.188465876730254e-01,  5.214350138613221e-02,  3.025305207714698e-01, -6.051238644612719e-02,  3.269510635321516e-01
  1.840000000000000e+00, -6.299108189986984e-03, -1.181350733473234e-01,  5.174101284082136e-02,  2.882240268566592e-01, -6.791727491497893e-02,  3.198327150909037e-01
  1.850000000000000e+00, -2.934576893200892e-02, -1.169156061712220e-01,  5.045634535849721e-02,  2.737272092274436e-01, -7.474142341883327e-02,  3.131461018541875e-01
  1.860000000000000e+00, -5.219845746272968e-02, -1.152376941031010e-01,  4.830682898271305e-02,  2.591648651259064e-01, -8.108910278026435e-02,  3.070926453185412e-01
  1.870000000000000e+00, -7.484548130710855e-02, -1.131325464318935e-01,  4.534219657711337e-02,  2.446549007103095e-01, -8.707530317929933e-02,  3.018215290179496e-01
  1.880000000000000e+00, -9.727305865971440e-02, -1.106146345274588e-01,  4.165186197181760e-02,  2.303131848360806e-01, -9.282191202353600e-02,  2.974289473683649e-01
  1.890000000000000e+00, -1.194483820045968e-01, -1.076898679858511e-01,  3.736368716727458e-02,  2.162574421534945e-01, -9.844948833461648e-02,  2.939589149464092e-01
