Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 1.540000000000000e+000, 4.939998826836526e-001, 1.041866782196266e-001, 1.403651862016605e-001, 1.396810768388982e-001,-4.880068421766098e-002, 1.622466556503211e-002
 1.550000000000000e+000, 4.913500854231726e-001, 1.031028819659068e-001, 1.385957183965056e-001, 1.441969768931782e-001,-4.853101403996620e-002, 2.925425908558148e-002
 1.560000000000000e+000, 4.892552118495044e-001, 1.010674311762452e-001, 1.363501643710238e-001, 1.499110121931537e-001,-4.667258942965778e-002, 4.412566866101336e-002
 1.570000000000000e+000, 4.879174540110017e-001, 9.780025760762112e-002, 1.331561499590569e-001, 1.575704023801282e-001,-4.253044640006589e-002, 6.141419238473704e-002
 1.580000000000000e+000, 4.874455574735637e-001, 9.309048482537308e-002, 1.287084130412876e-001, 1.676634452277394e-001,-3.564190064003459e-002, 8.113585984943958e-002
 1.590000000000000e+000, 4.877838551152310e-001, 8.686701641186589e-002, 1.230359305738766e-001, 1.801755735087089e-001,-2.593854181415206e-002, 1.026674051276834e-001
 1.600000000000000e+000, 4.887765791526736e-001, 7.910649005627701e-002, 1.162069949395463e-001, 1.948994123739668e-001,-1.359439989680867e-002, 1.251658387585854e-001
 1.610000000000000e+000, 4.901556656914792e-001, 6.987434154426486e-002, 1.082790713809687e-001, 2.114394773187925e-001, 8.147310812591039e-004, 1.476224964584705e-001
 1.620000000000000e+000, 4.915553205984513e-001, 5.931863104771429e-002, 9.928135917999066e-002, 2.293079211570030e-001, 1.633477387639630e-002, 1.690310315431796e-001
 1.630000000000000e+000, 4.925390149011973e-001, 4.765619918937425e-002, 8.928958016727227e-002, 2.479857841587949e-001, 3.179466838400481e-002, 1.885692186457610e-001
 1.640000000000000e+000, 4.926408074560711e-001, 3.515826751179541e-002, 7.849326448476192e-002, 2.669248978636441e-001, 4.602079133831596e-002, 2.057700533216557e-001
 1.650000000000000e+000, 4.914200845296420e-001, 2.213279488106479e-002, 6.719383604114478e-002, 2.855327687570792e-001, 5.800883112188408e-002, 2.205949892682234e-001
 1.660000000000000e+000, 4.885226766367417e-001, 8.902753184844459e-003, 5.577091738072648e-002, 3.031998217407809e-001, 6.702758862540598e-002, 2.333215602976781e-001
 1.670000000000000e+000, 4.837294888447190e-001,-4.218352594136832e-003, 4.465096204672326e-002, 3.193656736889319e-001, 7.266001044429730e-002, 2.442993211624462e-001
 1.680000000000000e+000, 4.769712889589745e-001,-1.695288527555050e-002, 3.427336766183115e-002, 3.335754522736127e-001, 7.478650780508384e-002, 2.537439779156094e-001
 1.690000000000000e+000, 4.683022538496349e-001,-2.908001529387327e-002, 2.505238017268690e-002, 3.454987961376865e-001, 7.353015228325066e-002, 2.616804711489377e-001
 1.700000000000000e+000, 4.578438558790245e-001,-4.044294210638544e-002, 1.733711714779839e-002, 3.549211461978453e-001, 6.919288368111787e-002, 2.680076641946750e-001
 1.710000000000000e+000, 4.457229537524492e-001,-5.094351361476135e-002, 1.137050346450226e-002, 3.617260609561357e-001, 6.219693347063863e-002, 2.725849625035658e-001
 1.720000000000000e+000, 4.320295553968170e-001,-6.052890308281800e-002, 7.257929914565012e-003, 3.658779404139587e-001, 5.303127677830057e-002, 2.752761021132293e-001
 1.730000000000000e+000, 4.168087351429509e-001,-6.917349352957869e-002, 4.958655236579189e-003, 3.674074274000733e-001, 4.220715699647196e-002, 2.759647438068643e-001
 1.740000000000000e+000, 4.000830219979197e-001,-7.686239969424302e-002, 4.300334034371170e-003, 3.663997232080147e-001, 3.023020028327771e-002, 2.745815577795954e-001
 1.750000000000000e+000, 3.818916317622348e-001,-8.358350559235106e-002, 5.006450014541627e-003, 3.629895642626955e-001, 1.758287465373752e-002, 2.711391870880367e-001
 1.760000000000000e+000, 3.623100917237913e-001,-8.933587452449521e-002, 6.735824376867278e-003, 3.573409666919846e-001, 4.720074106633358e-003, 2.657759673369414e-001
 1.770000000000000e+000, 3.414837531548464e-001,-9.412724282438845e-002, 9.115833386029774e-003, 3.496688803416105e-001,-7.970841640346714e-003, 2.587189610674874e-001
 1.780000000000000e+000, 3.196084354823799e-001,-9.798297763406838e-002, 1.178270055340734e-002, 3.402150209938177e-001,-2.017778923555593e-002, 2.502809201129116e-001
 1.790000000000000e+000, 2.969206248218909e-001,-1.009463559691910e-001, 1.439053492846909e-002, 3.292464661355804e-001,-3.168154663169134e-002, 2.408189041585266e-001
 1.800000000000000e+000, 2.736592776920458e-001,-1.030695718181043e-001, 1.666053988071482e-002, 3.170319125050772e-001,-4.235361924304248e-002, 2.306861705837031e-001
 1.810000000000000e+000, 2.500451730431926e-001,-1.044114377384111e-001, 1.838033400123426e-002, 3.038277163999955e-001,-5.214717996139140e-002, 2.202151298746649e-001
 1.820000000000000e+000, 2.262586464148171e-001,-1.050341646038167e-001, 1.940754118126721e-002, 2.898625792241880e-001,-6.107784619765229e-002, 2.097130311608507e-001
 1.830000000000000e+000, 2.024346325025705e-001,-1.050010895875972e-001, 1.965808113818697e-002, 2.753372214504854e-001,-6.920601380703007e-002, 1.994558672700119e-001
 1.840000000000000e+000, 1.786692293363371e-001,-1.043744914091940e-001, 1.909056392930556e-002, 2.604277040663047e-001,-7.662111303643214e-002, 1.896795909845010e-001
 1.850000000000000e+000, 1.550285587270898e-001,-1.032118980147108e-001, 1.769300139257219e-002, 2.452864598120560e-001,-8.342884948277449e-002, 1.805754868913657e-001
 1.860000000000000e+000, 1.315568648183624e-001,-1.015596567669601e-001, 1.547932747121972e-002, 2.300487181573929e-001,-8.974566939525210e-002, 1.722849378291338e-001
 1.870000000000000e+000, 1.082849227517413e-001,-9.944800174397472e-002, 1.249587047266535e-002, 2.148420600573582e-001,-9.569743199129807e-002, 1.648939741938857e-001
 1.880000000000000e+000, 8.524215661228619e-002,-9.689274198329034e-002, 8.828030569661718e-003, 1.997910272556563e-001,-1.014148042431607e-001, 1.584347827216930e-001
 1.890000000000000e+000, 6.247278187287373e-002,-9.390322749430213e-002, 4.598715266004634e-003, 1.850212245316053e-001,-1.070244644058384e-001, 1.528905708340791e-001
 1.900000000000000e+000, 4.004745531350083e-002,-9.049289676820593e-002,-4.341502093652426e-005, 1.706661520338730e-001,-1.126392316525110e-001, 1.482003404759680e-001
 1.910000000000000e+000, 1.806389440925409e-002,-8.668989746641698e-002,-4.942384852896143e-003, 1.568695486305219e-001,-1.183500253238090e-001, 1.442707978584007e-001
 1.920000000000000e+000,-3.360929336205919e-003,-8.254645543228034e-002,-9.953757438393013e-003, 1.437789847753121e-001,-1.242228791393282e-001, 1.409969709074421e-001
 1.930000000000000e+000,-2.410202784845820e-002,-7.814430822748775e-002,-1.496007647617713e-002, 1.315347935765431e-001,-1.303010692015938e-001, 1.382812501633483e-001
 1.940000000000000e+000,-4.403785228040183e-002,-7.359307346706379e-002,-1.988182975225608e-002, 1.202599732089968e-001,-1.366097457522909e-001, 1.360413139143947e-001
 1.950000000000000e+000,-6.306122037228079e-002,-6.902097993498479e-002,-2.467980065805039e-002, 1.100535349902200e-001,-1.431632572110248e-001, 1.342026251802771e-001
 1.960000000000000e+000,-8.109095656985770e-002,-6.456104781359295e-002,-2.934613103255053e-002, 1.009854523694126e-001,-1.499722283215025e-001, 1.326811633910455e-001
 1.970000000000000e+000,-9.808370820811882e-002,-6.033796738147235e-002,-3.389094781923575e-002, 9.308975832772118e-002,-1.570418939457580e-001, 1.313734418627338e-001
 1.980000000000000e+000,-1.140413657369526e-001,-5.645966561422422e-002,-3.832972618939742e-002, 8.635815883341527e-002,-1.643622935409407e-001, 1.301566988053427e-001
 1.990000000000000e+000,-1.290114831983254e-001,-5.301388231204340e-002,-4.266917292874756e-002, 8.074044894031569e-002,-1.718991898100218e-001, 1.288850470023215e-001
 2.000000000000000e+000,-1.430844046476231e-001,-5.006743285430226e-002,-4.689699097091681e-002, 7.615267475342520e-002,-1.795879434366092e-001, 1.273813048713388e-001
 2.010000000000000e+000,-1.563896006399162e-001,-4.766655885267590e-002,-5.098555514410569e-002, 7.249085537621249e-002,-1.873313013922084e-001, 1.254340868127471e-001
 2.020000000000000e+000,-1.690890262159504e-001,-4.583881254396194e-002,-5.490650349857035e-002, 6.965042816051417e-002,-1.950068684109287e-001, 1.227999682005777e-001
 2.030000000000000e+000,-1.813660576824821e-001,-4.459689248188981e-002,-5.864521597655112e-002, 6.754985201456143e-002,-2.024847070502915e-001, 1.192083193300227e-001
 2.040000000000000e+000,-1.934111313910142e-001,-4.394292154382451e-002,-6.221088998532862e-002, 6.615112540136582e-002,-2.096468635211415e-001, 1.143729084496664e-001
 2.050000000000000e+000,-2.054055657365149e-001,-4.386957314595086e-002,-6.564423194811317e-002, 6.546836290702958e-002,-2.163974626659899e-001, 1.080193839405616e-001
 2.060000000000000e+000,-2.175010860535200e-001,-4.435384188209923e-002,-6.902234682094695e-002, 6.556145327447469e-002,-2.226579071059635e-001, 9.993180931771740e-002
 2.070000000000000e+000,-2.297890406266220e-001,-4.533954358922832e-002,-7.245274227583043e-002, 6.652077949318719e-002,-2.283542848400275e-001, 9.000241621451012e-002
 2.080000000000000e+000,-2.422622268913746e-001,-4.670254869618895e-002,-7.604991103923010e-002, 6.845402671736041e-002,-2.334081380674650e-001, 7.825988677640941e-002
 2.090000000000000e+000,-2.547872422449997e-001,-4.820942910458292e-002,-7.988124661774460e-002, 7.148064458329471e-002,-2.377345718878984e-001, 6.484829931245524e-002
