Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 1.540000000000000e+000,-2.253481739801689e-001, 9.233988739145262e-001,-3.150728004974185e-001, 4.713849781376329e-002, 8.945255631661553e-002,-2.834796391734377e-003,-1.264759697444635e-001,-4.886217851500472e-002,-1.440973257720703e-001,-2.606209351863973e-002,-1.114079324103036e-001, 2.125990188752374e-001
 1.550000000000000e+000,-2.123144858821299e-001, 9.221298849385690e-001,-3.142824085621443e-001, 4.502703932617819e-002, 9.578597412931478e-002,-3.408119274695417e-003,-1.246953690683334e-001,-4.306626671278545e-002,-1.468929204549579e-001,-2.938645226719218e-002,-1.119872756244076e-001, 2.144395864711252e-001
 1.560000000000000e+000,-1.990107700263203e-001, 9.209218147121637e-001,-3.134747834054743e-001, 4.213580765813162e-002, 1.020594015746168e-001,-4.401197129844717e-003,-1.223838562503925e-001,-3.627440535625757e-002,-1.498120023822234e-001,-3.277658813237271e-002,-1.120976953843430e-001, 2.159568479057191e-001
 1.570000000000000e+000,-1.854257594870415e-001, 9.198421752561743e-001,-3.126547133204198e-001, 3.833176905151287e-002, 1.080288248913912e-001,-5.886513826557544e-003,-1.194563877582492e-001,-2.835750243267279e-002,-1.527792501287149e-001,-3.623393930868404e-002,-1.116088297087757e-001, 2.169578998740674e-001
 1.580000000000000e+000,-1.716236733657925e-001, 9.189617026203277e-001,-3.118305981156663e-001, 3.355279758515404e-002, 1.134254220044502e-001,-7.874511712204780e-003,-1.159109655643284e-001,-1.929545606310409e-002,-1.556863908150957e-001,-3.973291278086408e-002,-1.104312116825031e-001, 2.172836784383269e-001
 1.590000000000000e+000,-1.576705836701466e-001, 9.183266487402573e-001,-3.110088630926625e-001, 2.782418643568502e-002, 1.180715402450117e-001,-1.030241111408679e-002,-1.118361644871813e-001,-9.164342247057044e-003,-1.584398609831113e-001,-4.323539545962281e-002,-1.085500079766559e-001, 2.168732620493323e-001
 1.600000000000000e+000,-1.436093651446706e-001, 9.179786676395085e-001,-3.101946815439376e-001, 2.121458901262235e-002, 1.218072555395993e-001,-1.306554322269958e-002,-1.073706142814433e-001, 1.916272279985447e-003,-1.609371995806620e-001,-4.670288191686720e-002,-1.059831134398795e-001, 2.157014457315015e-001
 1.610000000000000e+000,-1.294743264013351e-001, 9.179469999329392e-001,-3.093912168249478e-001, 1.386250953238054e-002, 1.245185366712376e-001,-1.601678348698917e-002,-1.027028249198266e-001, 1.374804989516254e-002,-1.630762321517926e-001,-5.010024802030819e-002,-1.027994387745588e-001, 2.138020712539325e-001
 1.620000000000000e+000,-1.152943320260481e-001, 9.182467498316630e-001,-3.085984532561021e-001, 5.972179716750728e-003, 1.261471830346339e-001,-1.897543595260929e-002,-9.805783602763599e-002, 2.605498532937372e-002,-1.647579749405688e-001,-5.340372943983559e-002,-9.911844662293920e-002, 2.112724568789644e-001
 1.630000000000000e+000,-1.010950695014013e-001, 9.188784242872272e-001,-3.078123840929686e-001,-2.204951491973404e-003, 1.267023849864899e-001,-2.174287247484118e-002,-9.367692182130719e-002, 3.850369686327237e-002,-1.658936893243952e-001,-5.660759797754591e-002,-9.509910733243093e-002, 2.082715857294244e-001
