Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  1.600000000000000e+00, -2.405990116981949e-02,  8.794195184167802e-01, -3.257060265223234e-01,  3.593687206383950e-02,  1.242943577364523e-01,  7.152399068654212e-02,  2.493706711734155e-06, -1.316300907848346e-13, -5.066559036719964e-03,  7.990253517121263e-06, -6.982102158794059e-03, -1.623410818252556e-02,  1.410988685823949e-05, -1.538973184687321e-02, -2.866760686848282e-02,  2.030138404611847e-05, -2.411640272131366e-02, -4.124711390782419e-02,  2.618817390214767e-05, -3.272525774894967e-02, -5.320753468857465e-02,  3.204755178937279e-05, -4.059876600376437e-02, -6.511226023604129e-02,  3.509485656297407e-05, -4.913087859943659e-02, -7.130358627630150e-02,  2.036829988422859e-02, -9.787258236880831e-03,  5.193245713769621e-03,  2.036829988482061e-02, -9.787258236124998e-03,  5.193245713984483e-03,  2.036829988539166e-02, -9.787258235400402e-03,  5.193245714157185e-03,  2.036829988594110e-02, -9.787258234707566e-03,  5.193245714288419e-03,  2.036829988646818e-02, -9.787258234047341e-03,  5.193245714379212e-03,  2.036829988697233e-02, -9.787258233420269e-03,  5.193245714430231e-03, -8.315903798700171e-02,  1.269915350761857e-02
  1.610000000000000e+00, -1.044928476815686e-02,  8.791490569068074e-01, -3.248789210141271e-01,  2.854440809586434e-02,  1.267685101987840e-01,  6.898018390944051e-02,  2.244572478308395e-04, -7.497016430333147e-14, -4.983636498194042e-03,  7.191988118013955e-04, -7.044968481940753e-03, -1.596841040999668e-02,  1.270024109673237e-03, -1.552829983600902e-02, -2.819841452425908e-02,  1.827317827793813e-03, -2.433354499931863e-02, -4.057203732619476e-02,  2.357184963839438e-03, -3.301991351075860e-02, -5.233670623089409e-02,  2.884584705863037e-03, -4.096431424214193e-02, -6.404659144744487e-02,  3.158871059527497e-03, -4.957324933821240e-02, -7.013658630245054e-02,  1.980807400187236e-02, -9.668844825022407e-03,  5.534966551086518e-03,  1.980807400197424e-02, -9.668844824820073e-03,  5.534966551141170e-03,  1.980807400207676e-02, -9.668844824618942e-03,  5.534966551186996e-03,  1.980807400217980e-02, -9.668844824419306e-03,  5.534966551223717e-03,  1.980807400228335e-02, -9.668844824221218e-03,  5.534966551251335e-03,  1.980807400238722e-02, -9.668844824024950e-03,  5.534966551269986e-03, -8.223588283697862e-02,  1.379332928634863e-02
  1.620000000000000e+00,  3.307711503124894e-03,  8.792215046274445e-01, -3.239104057462373e-01,  2.054342356216889e-02,  1.282774667271649e-01,  6.655681740474766e-02,  4.555806932061931e-04, -5.733386140114583e-14, -4.901885997324055e-03,  1.459757244093534e-03, -7.090350050564804e-03, -1.570646804117995e-02,  2.577766904263081e-03, -1.562832847440513e-02, -2.773585379915381e-02,  3.708905511784842e-03, -2.449029437944752e-02, -3.990650235476204e-02,  4.784376407909797e-03, -3.323261786496376e-02, -5.147818616189802e-02,  5.854839236169559e-03, -4.122819403705850e-02, -6.299598494081880e-02,  6.411558025346807e-03, -4.989258530440575e-02, -6.898608083081455e-02,  1.916672442233862e-02, -9.511919589597797e-03,  5.864953555722582e-03,  1.916672442242019e-02, -9.511919589433506e-03,  5.864953555768517e-03,  1.916672442250255e-02, -9.511919589269965e-03,  5.864953555806625e-03,  1.916672442258562e-02, -9.511919589107383e-03,  5.864953555836990e-03,  1.916672442266938e-02, -9.511919588945945e-03,  5.864953555859585e-03,  1.916672442275368e-02, -9.511919588785620e-03,  5.864953555874269e-03, -8.097890342436791e-02,  1.487099473682029e-02
  1.630000000000000e+00,  1.718900665555673e-02,  8.796473390597183e-01, -3.228128835764595e-01,  1.220519125411875e-02,  1.288488762784321e-01,  6.442769231700129e-02,  6.889833624669756e-04, -4.503303234527403e-14, -4.825876487745398e-03,  2.207618693377178e-03, -7.116140308992018e-03, -1.546292077507938e-02,  3.898406004407322e-03, -1.568517455779789e-02, -2.730577675392181e-02,  5.609048472679438e-03, -2.457937475160474e-02, -3.928770508453358e-02,  7.235503600339104e-03, -3.335349734159422e-02, -5.067995631983635e-02,  8.854384931451798e-03, -4.137815641851401e-02, -6.201915807776230e-02,  9.696321363622137e-03, -5.007406332166020e-02, -6.791637048374466e-02,  1.847285190355549e-02, -9.326670104078482e-03,  6.183804069117593e-03,  1.847285190362059e-02, -9.326670103945165e-03,  6.183804069156758e-03,  1.847285190368660e-02, -9.326670103812194e-03,  6.183804069188926e-03,  1.847285190375341e-02, -9.326670103679855e-03,  6.183804069214406e-03,  1.847285190382099e-02, -9.326670103548143e-03,  6.183804069233032e-03,  1.847285190388920e-02, -9.326670103417234e-03,  6.183804069244746e-03, -7.947346323937426e-02,  1.592684289925449e-02
  1.640000000000000e+00,  3.116532365206537e-02,  8.804267167211179e-01, -3.216032478805472e-01,  3.810765605280401e-03,  1.285609386052745e-01,  6.273694460445935e-02,  9.176917470580692e-04, -3.711159906922067e-14, -4.759547804157343e-03,  2.940438864164717e-03, -7.120356236552576e-03, -1.525039250539216e-02,  5.192483900553446e-03, -1.569446717386723e-02, -2.693047576320642e-02,  7.470975023940081e-03, -2.459393669938613e-02, -3.874771990945328e-02,  9.637332775306187e-03, -3.337325748161048e-02, -4.998339170690118e-02,  1.179360260438247e-02, -4.140267073423240e-02, -6.116674315924353e-02,  1.291502027209071e-02, -5.010372949105245e-02, -6.698290203313650e-02,  1.775697651249178e-02, -9.126202491493689e-03,  6.494570855578591e-03,  1.775697651254425e-02, -9.126202491384152e-03,  6.494570855612786e-03,  1.775697651259761e-02, -9.126202491274757e-03,  6.494570855640737e-03,  1.775697651265191e-02, -9.126202491165624e-03,  6.494570855662608e-03,  1.775697651270700e-02, -9.126202491056728e-03,  6.494570855678291e-03,  1.775697651276287e-02, -9.126202490948405e-03,  6.494570855687922e-03, -7.783073828481993e-02,  1.696227061380537e-02
  1.650000000000000e+00,  4.520019099721073e-02,  8.815474899662291e-01, -3.203017561007885e-01, -4.377528210654947e-03,  1.275398909789988e-01,  6.157352058190015e-02,  1.135368516414873e-03, -3.246952862694193e-14, -4.705601067037487e-03,  3.637911882361358e-03, -7.101564999447743e-03, -1.507753807689440e-02,  6.424142705775099e-03, -1.565304811503705e-02, -2.662523430822564e-02,  9.243092636297818e-03, -2.452903116932339e-02, -3.830853678820731e-02,  1.192331112388377e-02, -3.328518256325885e-02, -4.941685870751997e-02,  1.459104883083069e-02, -4.129340549853999e-02, -6.047345330279123e-02,  1.597846712004840e-02, -4.997150140733810e-02, -6.622368936090048e-02,  1.704694312195914e-02, -8.925124528853636e-03,  6.802103016421183e-03,  1.704694312200226e-02, -8.925124528761624e-03,  6.802103016451935e-03,  1.704694312204631e-02, -8.925124528669516e-03,  6.802103016477138e-03,  1.704694312209136e-02, -8.925124528577418e-03,  6.802103016496511e-03,  1.704694312213724e-02, -8.925124528485382e-03,  6.802103016510333e-03,  1.704694312218396e-02, -8.925124528393570e-03,  6.802103016518327e-03, -7.617543460531782e-02,  1.798457549324657e-02
  1.660000000000000e+00,  5.925069579326381e-02,  8.829844814440456e-01, -3.189302803422517e-01, -1.214312547583902e-02,  1.259489486982390e-01,  6.095645251391960e-02,  1.336970975752667e-03, -3.010360759110560e-14, -4.665156621989632e-03,  4.283880104879054e-03, -7.059113745080413e-03, -1.494794726552101e-02,  7.564849841955213e-03, -1.555947838397309e-02, -2.639639152902059e-02,  1.088434847597447e-02, -2.438240318780341e-02, -3.797927651111932e-02,  1.404048172689994e-02, -3.308621265286817e-02, -4.899212286651802e-02,  1.718191803912600e-02, -4.104656457537209e-02, -5.995368649209833e-02,  1.881569417185041e-02, -4.967278515009640e-02, -6.565449951105691e-02,  1.636412144683247e-02, -8.737809869079027e-03,  7.112284508361971e-03,  1.636412144686882e-02, -8.737809868999556e-03,  7.112284508390835e-03,  1.636412144690623e-02, -8.737809868919791e-03,  7.112284508414207e-03,  1.636412144694459e-02, -8.737809868839850e-03,  7.112284508432109e-03,  1.636412144698382e-02, -8.737809868759692e-03,  7.112284508444547e-03,  1.636412144702407e-02, -8.737809868679555e-03,  7.112284508451485e-03, -7.463069577148107e-02,  1.900560443312957e-02
  1.670000000000000e+00,  7.326949953808579e-02,  8.847004209316177e-01, -3.175107880055537e-01, -1.933457447755096e-02,  1.239711886199287e-01,  6.083627522235469e-02,  1.519218079522369e-03, -2.909524469327230e-14, -4.637771358470569e-03,  4.867830509376804e-03, -6.993196929881407e-03, -1.486020027048224e-02,  8.596040495553426e-03, -1.541418659547693e-02, -2.624144021728339e-02,  1.236803138489460e-02, -2.415472441351894e-02, -3.775633169278211e-02,  1.595438799490647e-02, -3.277725917176789e-02, -4.870453076536614e-02,  1.952404427603830e-02, -4.066327866877153e-02, -5.960174814650493e-02,  2.138052604249625e-02, -4.920894904867525e-02, -6.526909642266863e-02,  1.572080102261634e-02, -8.576659214763180e-03,  7.431240028622822e-03,  1.572080102264786e-02, -8.576659214692604e-03,  7.431240028650607e-03,  1.572080102268044e-02, -8.576659214621526e-03,  7.431240028673063e-03,  1.572080102271407e-02, -8.576659214550010e-03,  7.431240028690022e-03,  1.572080102274867e-02, -8.576659214478215e-03,  7.431240028701624e-03,  1.572080102278427e-02, -8.576659214406162e-03,  7.431240028707784e-03, -7.330295367840543e-02,  2.003994650359560e-02
  1.680000000000000e+00,  8.720814617341796e-02,  8.866488290310366e-01, -3.160643335733527e-01, -2.587548152065746e-02,  1.217874875306242e-01,  6.111113367641670e-02,  1.680830155277508e-03, -2.906326114423035e-14, -4.621764384065503e-03,  5.385662809892223e-03, -6.904772528684260e-03, -1.480891122947347e-02,  9.510474023311464e-03, -1.521928428780377e-02, -2.615086954670369e-02,  1.368372348483921e-02, -2.384930372198737e-02, -3.762601810283781e-02,  1.765159117876031e-02, -3.236281216788975e-02, -4.853643015903631e-02,  2.160098198857141e-02, -4.014911810630251e-02, -5.939603648388484e-02,  2.365495342155902e-02, -4.858673407365615e-02, -6.504382426610635e-02,  1.511882384886106e-02, -8.450570486639277e-03,  7.764411296042929e-03,  1.511882384888892e-02, -8.450570486575130e-03,  7.764411296070381e-03,  1.511882384891799e-02, -8.450570486510333e-03,  7.764411296092420e-03,  1.511882384894817e-02, -8.450570486444903e-03,  7.764411296108879e-03,  1.511882384897932e-02, -8.450570486378985e-03,  7.764411296119843e-03,  1.511882384901153e-02, -8.450570486312634e-03,  7.764411296125338e-03, -7.226855289509010e-02,  2.110242236333558e-02
  1.690000000000000e+00,  1.010215604701406e-01,  8.887786890138566e-01, -3.146105473040556e-01, -3.176256284816081e-02,  1.195529231774489e-01,  6.165451676858055e-02,  1.822464397400216e-03, -2.948252307700994e-14, -4.614769810150974e-03,  5.839482767879951e-03, -6.795227196676613e-03, -1.478649943700868e-02,  1.031186896282332e-02, -1.497782788307725e-02, -2.611129284508225e-02,  1.483677502860272e-02, -2.347093066429086e-02, -3.756907492207698e-02,  1.913899294343220e-02, -3.184937092288322e-02, -4.846297517083331e-02,  2.342117702952208e-02, -3.951214585929042e-02, -5.930614657759605e-02,  2.564822525219350e-02, -4.781589768577727e-02, -6.494538700308650e-02,  1.455004916412953e-02, -8.364035490675681e-03,  8.115571846125975e-03,  1.455004916415453e-02, -8.364035490616701e-03,  8.115571846153427e-03,  1.455004916418075e-02, -8.364035490556792e-03,  8.115571846175326e-03,  1.455004916420811e-02, -8.364035490496115e-03,  8.115571846191508e-03,  1.455004916423664e-02, -8.364035490434713e-03,  8.115571846201999e-03,  1.455004916426619e-02, -8.364035490372724e-03,  8.115571846206884e-03, -7.156576013352453e-02,  2.220503983476143e-02
